Model,Trial Number,Value,Mean Train Score,Mean Test Score,Train Std,Test Std,Overfitting Risk,p_value,logit_penalty,logit_c,logit_solver,logit_max_iter,rf_n_estimators,rf_max_depth,rf_min_samples_split,rf_min_samples_leaf,rf_max_features,rf_bootstrap,svc_c,svc_kernel,svc_gamma,svc_degree,naive_var_smoothing,gbm_n_estimators,gbm_learning_rate,gbm_max_depth,gbm_min_samples_split,gbm_min_samples_leaf,gbm_max_features,knn_n_neighbors,knn_weights,knn_p,dt_max_depth,dt_min_samples_split,dt_min_samples_leaf,dt_criterion
logit,0,0.6888640766212142,0.8490971138845553,0.8315336463223787,0.007209901173237611,0.047556523233721504,Low,0.3006,l1,21.639910499671362,liblinear,445.0,,,,,,,,,,,,,,,,,,,,,,,,
logit,1,0.6122484702630385,0.7848008482839314,0.7838615023474179,0.003750400421828335,0.05720434402812646,Low,0.9619,l2,0.009181155089297415,liblinear,216.0,,,,,,,,,,,,,,,,,,,,,,,,
logit,2,0.46609047019006833,0.6165742004680187,0.6166666666666667,0.005588641601619185,0.050192065492199456,Low,0.9957,l1,0.002973139290495209,liblinear,208.0,,,,,,,,,,,,,,,,,,,,,,,,
logit,3,0.4440427065249861,0.6343635432917317,0.633528951486698,0.00824304511727142,0.06316208165390394,Low,0.9695,l2,0.001982925297643687,saga,105.0,,,,,,,,,,,,,,,,,,,,,,,,
logit,4,0.6922965607675278,0.8277169461778472,0.8203051643192488,0.004685280436841403,0.04266953451724037,Low,0.6167,l2,0.10161880119699054,saga,128.0,,,,,,,,,,,,,,,,,,,,,,,,
logit,5,0.6888640766212142,0.8490971138845553,0.8315336463223787,0.006684406542753625,0.047556523233721504,Low,0.3,l1,27.78686777384872,saga,173.0,,,,,,,,,,,,,,,,,,,,,,,,
logit,6,0.6749486460931626,0.8444157078783151,0.8301447574334899,0.006638339536330792,0.05173203711344241,Low,0.4323,l1,0.8345544792009567,saga,239.0,,,,,,,,,,,,,,,,,,,,,,,,
logit,7,0.6772080190786767,0.834426189547582,0.8217527386541471,0.006586114287773627,0.04818157319182346,Low,0.4537,l2,0.20547467829870097,saga,241.0,,,,,,,,,,,,,,,,,,,,,,,,
logit,8,0.6665682641369924,0.824283102574103,0.8132629107981222,0.005983892723978347,0.04889821555370991,Low,0.5185,l2,0.06078920297427769,saga,308.0,,,,,,,,,,,,,,,,,,,,,,,,
logit,9,0.6858891739765314,0.8476928139625585,0.8343505477308295,0.0066848564128762535,0.04948712458476602,Low,0.4428,l1,4.3408939152992145,liblinear,156.0,,,,,,,,,,,,,,,,,,,,,,,,
logit,10,0.6888640766212142,0.849253120124805,0.8315336463223787,0.006727187965952599,0.047556523233721504,Low,0.296,l1,18.884535959451416,liblinear,341.0,,,,,,,,,,,,,,,,,,,,,,,,
logit,11,0.6592259244143577,0.8408251267550702,0.8301838810641626,0.005549977802893181,0.056985985549935,Low,0.5905,l2,0.3787443873747762,saga,182.0,,,,,,,,,,,,,,,,,,,,,,,,
logit,12,0.6747555252030837,0.8492533638845554,0.8315532081377153,0.006153704933839905,0.052265894311543847,Low,0.3386,l2,2.0406723345050044,saga,209.0,,,,,,,,,,,,,,,,,,,,,,,,
