Model,Trial Number,Value,Mean Train Score,Mean Test Score,Train Std,Test Std,Overfitting Risk,p_value,rf_n_estimators,rf_max_depth,rf_min_samples_split,rf_min_samples_leaf,rf_max_features,rf_bootstrap,naive_var_smoothing,gbm_n_estimators,gbm_learning_rate,gbm_max_depth,gbm_min_samples_split,gbm_min_samples_leaf,gbm_max_features,knn_n_neighbors,knn_weights,knn_p,dt_max_depth,dt_min_samples_split,dt_min_samples_leaf,dt_criterion
RF,0,0.6750506778867121,0.854866907176287,0.8287167449139281,0.006775380397185782,0.05122202234240533,Low,0.1621,45.0,4.0,2.0,4.0,,False,,,,,,,,,,,,,,
RF,1,0.6737012909932185,0.9742516575663027,0.7795383411580594,0.004312565235786241,0.035279016721613626,High,0.0,66.0,15.0,3.0,1.0,,False,,,,,,,,,,,,,,
RF,2,0.6885500627206887,0.9719103451638066,0.8174882629107982,0.004006675873211824,0.0413872725436131,High,0.0,57.0,22.0,3.0,1.0,log2,True,,,,,,,,,,,,,,
RF,3,0.7360489963073723,0.8890461680967239,0.842781690140845,0.004518308804530029,0.03557756461115756,High,0.0036,105.0,9.0,8.0,2.0,log2,True,,,,,,,,,,,,,,
RF,4,0.7212917520421713,0.9180711290951636,0.8470266040688574,0.006093234278921838,0.041911617342228716,High,0.0006,35.0,16.0,7.0,2.0,,True,,,,,,,,,,,,,,
RF,5,0.7353038055898568,0.9374239469578785,0.8413341158059466,0.0061625201156752935,0.03534343673869664,High,0.0,105.0,16.0,2.0,2.0,,True,,,,,,,,,,,,,,
RF,6,0.7146122435478615,0.9124531981279251,0.8442292644757433,0.004652375606913403,0.043205673642627285,High,0.001,37.0,18.0,8.0,2.0,log2,False,,,,,,,,,,,,,,
RF,7,0.7063996369992475,0.8985647425897035,0.7991392801251956,0.0020709647638294786,0.030913214375316047,High,0.0,10.0,26.0,8.0,4.0,,False,,,,,,,,,,,,,,
RF,8,0.7042885774498348,0.8888904056162247,0.8442488262910798,0.005719590356117883,0.046653416280415014,High,0.0186,158.0,9.0,7.0,4.0,sqrt,False,,,,,,,,,,,,,,
RF,9,0.7135183538516632,0.8790600624024961,0.8386150234741783,0.007219319667061914,0.04169888987417172,High,0.0175,102.0,8.0,10.0,4.0,log2,True,,,,,,,,,,,,,,
RF,10,0.7077669838082997,0.940542365444618,0.8357785602503911,0.004662690697342,0.042670525480697115,High,0.0,199.0,9.0,2.0,1.0,log2,False,,,,,,,,,,,,,,
RF,11,0.6926314950730155,0.9163548166926676,0.832981220657277,0.003632374156922127,0.0467832418614205,High,0.0005,44.0,10.0,3.0,2.0,log2,False,,,,,,,,,,,,,,
RF,12,0.7132341041679884,0.8790588436037441,0.8385954616588419,0.008421289598232571,0.04178711916361783,High,0.0178,71.0,26.0,6.0,4.0,log2,True,,,,,,,,,,,,,,
RF,13,0.7034700949947446,0.8907634555382217,0.8399843505477307,0.005414722285166899,0.04550475185099538,High,0.0085,141.0,21.0,2.0,3.0,sqrt,True,,,,,,,,,,,,,,
RF,14,0.682361658860467,0.8892016868174727,0.8019953051643192,0.005254514541089444,0.03987788210128408,High,0.0001,13.0,8.0,6.0,4.0,,False,,,,,,,,,,,,,,
RF,15,0.7095668837213821,0.8979407176287051,0.8428012519561815,0.005124806035691669,0.04441145607826647,High,0.0047,56.0,22.0,7.0,2.0,log2,True,,,,,,,,,,,,,,
RF,16,0.7088569714746351,0.8993447737909517,0.7977503912363069,0.0024339483215551194,0.029631139920557246,High,0.0,108.0,19.0,2.0,4.0,,False,,,,,,,,,,,,,,
RF,17,0.6894810969040932,0.9634830830733229,0.8161384976525822,0.004587112414555782,0.042219133582829665,High,0.0,87.0,27.0,6.0,1.0,sqrt,False,,,,,,,,,,,,,,
RF,18,0.7088569714746351,0.8993447737909517,0.7977503912363069,0.0024339483215551194,0.029631139920557246,High,0.0,174.0,20.0,3.0,4.0,,False,,,,,,,,,,,,,,
