Model,Trial Number,Value,Mean Train Score,Mean Test Score,Train Std,Test Std,Overfitting Risk,p_value,dt_max_depth,dt_min_samples_split,dt_min_samples_leaf,dt_criterion
dt,0,0.703113052169784,0.8650146255850235,0.8258411580594679,0.0044734981986866125,0.04090936862989463,High,0.0185,5,6,4,entropy
dt,1,0.6948778849696972,0.8954436427457099,0.7935054773082942,0.0035458680814929202,0.0328758641128657,High,0.0,13,8,4,gini
dt,2,0.5759992718514176,0.786050604524181,0.7810054773082943,0.007824626265181017,0.06833540181895888,Low,0.8306,1,6,1,entropy
dt,3,0.6797849089646391,0.8356737519500781,0.8105046948356808,0.004538485647308586,0.043573261957013915,Low,0.1182,3,8,2,gini
dt,4,0.7016941764946789,0.8940405616224648,0.814612676056338,0.008873346022928705,0.03763949985388636,High,0.0001,7,5,2,gini
dt,5,0.6773210792717947,0.8988772425897036,0.8104460093896714,0.0055609851872377245,0.04437497670595889,High,0.0002,14,6,4,entropy
dt,6,0.6864381842520956,0.9058994734789392,0.8173904538341159,0.0053961130464620834,0.04365075652734012,High,0.0002,10,3,3,entropy
dt,7,0.6349537503651592,0.8013436037441497,0.7908841940532081,0.005069664257969427,0.05197681456268296,Low,0.5625,2,10,3,gini
dt,8,0.6662656458742849,0.835205001950078,0.8133215962441314,0.0045676343424714055,0.04901865012328214,Low,0.2146,3,8,4,gini
dt,9,0.637460516061024,0.7971292414196568,0.7866784037558686,0.005381344179963951,0.04973929589828154,Low,0.5461,2,7,1,entropy
dt,10,0.6896577255847349,0.8322413709048362,0.8160602503912363,0.004573811985627129,0.042134174935500444,Low,0.2809,3,7,3,entropy
dt,11,0.6927431704136775,0.902153129875195,0.8090179968701096,0.005678120187767942,0.038758275485477334,High,0.0,9,5,3,entropy
dt,12,0.6898633338774685,0.8902942180187207,0.8061619718309858,0.004451629971779639,0.03876621265117244,High,0.0001,9,7,4,gini
dt,13,0.6742717903044738,0.897004923946958,0.8006455399061032,0.0075027135110756,0.04212458320054314,High,0.0001,7,10,1,gini
dt,14,0.5759992718514176,0.786050604524181,0.7810054773082943,0.007824626265181017,0.06833540181895888,Low,0.8306,1,4,4,gini
dt,15,0.6797705394653664,0.8564277008580344,0.8287167449139281,0.0067318330585138305,0.04964873514952058,Low,0.1302,4,8,2,gini
dt,16,0.6776751667393245,0.9030896548361935,0.7978090766823162,0.006105170839099632,0.0400446366476639,High,0.0,9,7,2,gini
dt,17,0.5759992718514176,0.786050604524181,0.7810054773082943,0.007824626265181017,0.06833540181895888,Low,0.8306,1,9,3,entropy
dt,18,0.7217521869711019,0.9102695982839315,0.8216353677621283,0.005995136543000245,0.03329439359700882,High,0.0,10,6,2,entropy
dt,19,0.7273215770999415,0.8701640503120125,0.8258411580594679,0.004462578722135734,0.03283986031984212,High,0.0028,5,8,1,entropy
dt,20,0.6890789936167603,0.8921672679407177,0.8005477308294211,0.003688921581908955,0.03715624573755362,High,0.0,10,9,4,gini
