Model,Trial Number,Value,Mean Train Score,Mean Test Score,Train Std,Test Std,Overfitting Risk,p_value,logit_penalty,logit_c,logit_solver,logit_max_iter
logit,0,0.6952646253707851,0.8483168389235569,0.8315336463223787,0.007816564919775533,0.04542300698386451,Low,0.3015,l1,75.41282789781292,liblinear,456
logit,1,0.5956567199061716,0.7963492102184088,0.7879890453834116,0.008445759327868167,0.06411077515908001,Low,0.7068,l1,0.030718263569902763,saga,217
logit,2,0.6172572931928116,0.7855820982839314,0.772672143974961,0.005871078735707065,0.05180495026071644,Low,0.476,l2,0.006713826623745902,saga,215
logit,3,0.46609047019006833,0.6165742004680187,0.6166666666666667,0.005588641601619185,0.050192065492199456,Low,0.9957,l1,0.0017545857981278708,saga,207
logit,4,0.6780653480759772,0.8267801774570982,0.814651799687011,0.0051370203063244285,0.04552881720367792,Low,0.4471,l2,0.0731892834195941,saga,451
logit,5,0.6765264457953958,0.8327108521840871,0.817527386541471,0.005863998373341302,0.047000313582025055,Low,0.3606,l2,0.26676643383009613,liblinear,114
logit,6,0.6682929257321444,0.8414498829953198,0.8273474178403756,0.006361704357706656,0.05301816403607706,Low,0.448,l2,0.7376622470755543,liblinear,439
logit,7,0.46609047019006833,0.6165742004680187,0.6166666666666667,0.005588641601619185,0.050192065492199456,Low,0.9957,l2,0.0013641365501937549,saga,162
logit,8,0.6952646253707851,0.8484726014040562,0.8315336463223787,0.007294868113341331,0.04542300698386451,Low,0.2966,l1,260.4305059517707,saga,275
logit,9,0.6723284439096928,0.8461317765210609,0.8329616588419405,0.006042395485320007,0.053544404977415895,Low,0.4816,l1,1.2164806327626747,saga,349
logit,10,0.46609047019006833,0.6165742004680187,0.6166666666666667,0.005588641601619185,0.050192065492199456,Low,0.9957,l1,0.002774612765544888,saga,188
logit,11,0.46609047019006833,0.6165742004680187,0.6166666666666667,0.005588641601619185,0.050192065492199456,Low,0.9957,l1,0.0057815234174708125,saga,178
logit,12,0.6274125338010093,0.813515015600624,0.8034428794992176,0.0064990825116548944,0.06038373401888252,Low,0.6305,l2,0.01302819401733417,saga,125
logit,13,0.6850588609146242,0.8478497952418097,0.8329616588419405,0.006988126057619522,0.04930093264243877,Low,0.3922,l1,2.4136707763119998,saga,271
logit,14,0.6858891739765314,0.849721870124805,0.8343505477308295,0.0075310883970752885,0.04948712458476602,Low,0.3799,l2,7.298212134982584,saga,192
logit,15,0.6850588609146242,0.8480058014820594,0.8329616588419405,0.006702929395567528,0.04930093264243877,Low,0.3872,l1,2.511493287863039,saga,161
logit,16,0.7020550987025959,0.8300570397815912,0.8217136150234742,0.005262157219022308,0.03988617210695945,Low,0.5488,l2,0.1397104626153983,saga,220
logit,17,0.6897589891217375,0.848473088923557,0.832942097026604,0.007013354888749338,0.047727702634955516,Low,0.3583,l1,7.982857021652345,liblinear,243
logit,18,0.6952646253707851,0.8483168389235571,0.8315336463223787,0.0073677718467631695,0.04542300698386451,Low,0.3009,l1,113.36773337823057,liblinear,444
logit,19,0.5222316076600033,0.7514052749609985,0.7432120500782472,0.010092912733305013,0.07366014747274797,Low,0.7482,l2,0.006457891121336402,liblinear,300
logit,20,0.6888640766212142,0.8489408638845554,0.8315336463223787,0.007170759363468278,0.047556523233721504,Low,0.3046,l1,107.4082882398276,saga,184
logit,21,0.47294294854410435,0.6713509165366616,0.671537558685446,0.005989281733053202,0.06619820338044721,Low,0.9935,l2,0.0018751454924709756,liblinear,212
logit,22,0.6013053113851908,0.8016553724648986,0.7964006259780908,0.006993387495915727,0.06503177153096666,Low,0.8148,l1,0.0401067263522079,saga,214
logit,23,0.46609047019006833,0.6165742004680187,0.6166666666666667,0.005588641601619185,0.050192065492199456,Low,0.9957,l1,0.004925561921211789,liblinear,472
logit,24,0.6885219461982266,0.8480050702028082,0.834370109546166,0.007001676520804913,0.04861605444931312,Low,0.4257,l2,4.42575187921936,liblinear,478
logit,25,0.5835772808833747,0.7993150351014041,0.7894170579029735,0.008482616564669178,0.06861325900653292,Low,0.6774,l1,0.09266112083814872,liblinear,351
logit,26,0.634638577805537,0.8177305967238689,0.8077464788732396,0.007980457597126409,0.057702633689234194,Low,0.6191,l2,0.02820041964089126,liblinear,451
