Model,Trial Number,Value,Mean Train Score,Mean Test Score,Train Std,Test Std,Overfitting Risk,p_value,logit_penalty,logit_c,logit_solver,logit_max_iter,rf_n_estimators,rf_max_depth,rf_min_samples_split,rf_min_samples_leaf,rf_max_features,rf_bootstrap,svc_c,svc_kernel,svc_gamma,svc_degree,naive_var_smoothing,gbm_n_estimators,gbm_learning_rate,gbm_max_depth,gbm_min_samples_split,gbm_min_samples_leaf,gbm_max_features,knn_n_neighbors,knn_weights,knn_p,dt_max_depth,dt_min_samples_split,dt_min_samples_leaf,dt_criterion
logit,0,0.685848247068743,0.8487858326833073,0.8357589984350549,0.007000989536686132,0.04997025045543726,Low,0.4578,l1,3.3796145934597126,saga,495.0,,,,,,,,,,,,,,,,,,,,,,,,
logit,1,0.6648730351924321,0.8192896840873635,0.8104655712050078,0.004459088419116478,0.04853084533752522,Low,0.6,l1,0.2776173940840089,saga,116.0,,,,,,,,,,,,,,,,,,,,,,,,
logit,2,0.46609047019006833,0.6165742004680187,0.6166666666666667,0.005588641601619185,0.050192065492199456,Low,0.9957,l1,0.0009400265399733811,liblinear,472.0,,,,,,,,,,,,,,,,,,,,,,,,
logit,3,0.6850588609146242,0.8470683014820594,0.8329616588419405,0.0057844682910521885,0.04930093264243877,Low,0.4154,l1,3.3111612093015923,liblinear,371.0,,,,,,,,,,,,,,,,,,,,,,,,
logit,4,0.6982725871792765,0.8486288514040561,0.8357589984350546,0.006934096069855491,0.04582880375192602,Low,0.4255,l1,8.944624736282782,liblinear,337.0,,,,,,,,,,,,,,,,,,,,,,,,
logit,5,0.46609047019006833,0.6165742004680187,0.6166666666666667,0.005588641601619185,0.050192065492199456,Low,0.9957,l2,0.00020369803040476412,liblinear,310.0,,,,,,,,,,,,,,,,,,,,,,,,
logit,6,0.46609047019006833,0.6165742004680187,0.6166666666666667,0.005588641601619185,0.050192065492199456,Low,0.9957,l1,0.0006283261186452437,liblinear,209.0,,,,,,,,,,,,,,,,,,,,,,,,
logit,7,0.46609047019006833,0.6176664879095164,0.6166666666666667,0.004481407129073118,0.050192065492199456,Low,0.9538,l2,0.00040997914934893495,liblinear,388.0,,,,,,,,,,,,,,,,,,,,,,,,
logit,8,0.6952646253707851,0.8483168389235571,0.8315336463223787,0.007563373296722462,0.04542300698386451,Low,0.3012,l1,163.29516560788483,liblinear,150.0,,,,,,,,,,,,,,,,,,,,,,,,
logit,9,0.6613549062767514,0.835831952028081,0.8217136150234742,0.0072049657468256706,0.053452902915574266,Low,0.4518,l1,0.4765544703457908,saga,319.0,,,,,,,,,,,,,,,,,,,,,,,,
logit,10,0.6612117399224733,0.8384840581123246,0.8273865414710485,0.005697927004352296,0.05539160051619176,Low,0.5644,l2,0.2532860845029352,saga,372.0,,,,,,,,,,,,,,,,,,,,,,,,
logit,11,0.6952646253707851,0.8484728451638066,0.8315336463223787,0.007455738967560155,0.04542300698386451,Low,0.2968,l2,629.9475599998785,liblinear,218.0,,,,,,,,,,,,,,,,,,,,,,,,
logit,12,0.6922965607675278,0.8280289586583462,0.8203051643192488,0.0044545106847146505,0.04266953451724037,Low,0.602,l2,0.09806840619175367,saga,149.0,,,,,,,,,,,,,,,,,,,,,,,,
logit,13,0.6767562989362034,0.8317745709828394,0.8188967136150234,0.007336914016583243,0.04738013822627333,Low,0.4402,l1,0.4294431223520584,liblinear,384.0,,,,,,,,,,,,,,,,,,,,,,,,
logit,14,0.6775257868672871,0.8417621392355695,0.8301643192488264,0.0064334774640419454,0.050879510793846415,Low,0.514,l1,0.7457593398576005,liblinear,212.0,,,,,,,,,,,,,,,,,,,,,,,,
logit,15,0.46609047019006833,0.6165742004680187,0.6166666666666667,0.005588641601619185,0.050192065492199456,Low,0.9957,l1,0.0008477027938525737,saga,474.0,,,,,,,,,,,,,,,,,,,,,,,,
